title,source,reservoir_name,country,annual_sedimentation_rate,sand_fraction
LOSS OF WATER STORAGE CAPACITY OF RESERVOIRS IN SOUTHERN ITALY: ECONOMIC IMPLICANCES OF SEDIMENTATION,"Proceedings of the OECD Workshop on Agriculture and Water: Sustainability, Markets and Policies,Adelaide, Australia. 2005.",Angitola,Italy,0.69%,
LOSS OF WATER STORAGE CAPACITY OF RESERVOIRS IN SOUTHERN ITALY: ECONOMIC IMPLICANCES OF SEDIMENTATION,"Proceedings of the OECD Workshop on Agriculture and Water: Sustainability, Markets and Policies,Adelaide, Australia. 2005.",Pozzillo,Italy,0.67%,
Assessment of current reservoir sedimentation rate and storage capacity loss: An Italian overview,Journal of Environmental Management,Pagnona,Italy,0.67%,
LOSS OF WATER STORAGE CAPACITY OF RESERVOIRS IN SOUTHERN ITALY: ECONOMIC IMPLICANCES OF SEDIMENTATION,"Proceedings of the OECD Workshop on Agriculture and Water: Sustainability, Markets and Policies,Adelaide, Australia. 2005.",Muro Lucano,Italy,0.65%,
LOSS OF WATER STORAGE CAPACITY OF RESERVOIRS IN SOUTHERN ITALY: ECONOMIC IMPLICANCES OF SEDIMENTATION,"Proceedings of the OECD Workshop on Agriculture and Water: Sustainability, Markets and Policies,Adelaide, Australia. 2005.",Pertusillo,Italy,0.65%,
LOSS OF WATER STORAGE CAPACITY OF RESERVOIRS IN SOUTHERN ITALY: ECONOMIC IMPLICANCES OF SEDIMENTATION,"Proceedings of the OECD Workshop on Agriculture and Water: Sustainability, Markets and Policies,Adelaide, Australia. 2005.",Cucchinadorza,Italy,0.64%,
Assessment of current reservoir sedimentation rate and storage capacity loss: An Italian overview,Journal of Environmental Management,Furlo,Italy,0.64%,
LOSS OF WATER STORAGE CAPACITY OF RESERVOIRS IN SOUTHERN ITALY: ECONOMIC IMPLICANCES OF SEDIMENTATION,"Proceedings of the OECD Workshop on Agriculture and Water: Sustainability, Markets and Policies,Adelaide, Australia. 2005.",Biviere di Ce.,Italy,0.63%,
Assessment of current reservoir sedimentation rate and storage capacity loss: An Italian overview,Journal of Environmental Management,Gurzia,Italy,0.59%,
Assessment of current reservoir sedimentation rate and storage capacity loss: An Italian overview,Journal of Environmental Management,La Stua,Italy,0.59%,
Assessment of current reservoir sedimentation rate and storage capacity loss: An Italian overview,Journal of Environmental Management,Pontefiume,Italy,0.58%,
Assessment of current reservoir sedimentation rate and storage capacity loss: An Italian overview,Journal of Environmental Management,Poglia,Italy,0.56%,
LOSS OF WATER STORAGE CAPACITY OF RESERVOIRS IN SOUTHERN ITALY: ECONOMIC IMPLICANCES OF SEDIMENTATION,"Proceedings of the OECD Workshop on Agriculture and Water: Sustainability, Markets and Policies,Adelaide, Australia. 2005.",Sinni,Italy,0.55%,
LOSS OF WATER STORAGE CAPACITY OF RESERVOIRS IN SOUTHERN ITALY: ECONOMIC IMPLICANCES OF SEDIMENTATION,"Proceedings of the OECD Workshop on Agriculture and Water: Sustainability, Markets and Policies,Adelaide, Australia. 2005.",Villarosa,Italy,0.53%,
LOSS OF WATER STORAGE CAPACITY OF RESERVOIRS IN SOUTHERN ITALY: ECONOMIC IMPLICANCES OF SEDIMENTATION,"Proceedings of the OECD Workshop on Agriculture and Water: Sustainability, Markets and Policies,Adelaide, Australia. 2005.",Santa Lucia,Italy,0.53%,
LOSS OF WATER STORAGE CAPACITY OF RESERVOIRS IN SOUTHERN ITALY: ECONOMIC IMPLICANCES OF SEDIMENTATION,"Proceedings of the OECD Workshop on Agriculture and Water: Sustainability, Markets and Policies,Adelaide, Australia. 2005.",Sciaguana,Italy,0.52%,
"An integrated approach for managing reservoir sedimentation, sediment transport and water supply: the case of Disueri dam, Italy",Journal of Soils and Sediments,Disueri reservoir,Italy,0.51%,
Assessment of current reservoir sedimentation rate and storage capacity loss: An Italian overview,Journal of Environmental Management,Rio Freddo,Italy,0.50%,
LOSS OF WATER STORAGE CAPACITY OF RESERVOIRS IN SOUTHERN ITALY: ECONOMIC IMPLICANCES OF SEDIMENTATION,"Proceedings of the OECD Workshop on Agriculture and Water: Sustainability, Markets and Policies,Adelaide, Australia. 2005.",Cimia,Italy,0.49%,
LOSS OF WATER STORAGE CAPACITY OF RESERVOIRS IN SOUTHERN ITALY: ECONOMIC IMPLICANCES OF SEDIMENTATION,"Proceedings of the OECD Workshop on Agriculture and Water: Sustainability, Markets and Policies,Adelaide, Australia. 2005.",Dirillo,Italy,0.49%,
LOSS OF WATER STORAGE CAPACITY OF RESERVOIRS IN SOUTHERN ITALY: ECONOMIC IMPLICANCES OF SEDIMENTATION,"Proceedings of the OECD Workshop on Agriculture and Water: Sustainability, Markets and Policies,Adelaide, Australia. 2005.",Castello(AG),Italy,0.48%,
Assessment of current reservoir sedimentation rate and storage capacity loss: An Italian overview,Journal of Environmental Management,Pontecosi,Italy,0.48%,
LOSS OF WATER STORAGE CAPACITY OF RESERVOIRS IN SOUTHERN ITALY: ECONOMIC IMPLICANCES OF SEDIMENTATION,"Proceedings of the OECD Workshop on Agriculture and Water: Sustainability, Markets and Policies,Adelaide, Australia. 2005.",San Giovanni,Italy,0.46%,
LOSS OF WATER STORAGE CAPACITY OF RESERVOIRS IN SOUTHERN ITALY: ECONOMIC IMPLICANCES OF SEDIMENTATION,"Proceedings of the OECD Workshop on Agriculture and Water: Sustainability, Markets and Policies,Adelaide, Australia. 2005.",Olivo,Italy,0.46%,
LOSS OF WATER STORAGE CAPACITY OF RESERVOIRS IN SOUTHERN ITALY: ECONOMIC IMPLICANCES OF SEDIMENTATION,"Proceedings of the OECD Workshop on Agriculture and Water: Sustainability, Markets and Policies,Adelaide, Australia. 2005.",Santa Rosalia,Italy,0.45%,
LOSS OF WATER STORAGE CAPACITY OF RESERVOIRS IN SOUTHERN ITALY: ECONOMIC IMPLICANCES OF SEDIMENTATION,"Proceedings of the OECD Workshop on Agriculture and Water: Sustainability, Markets and Policies,Adelaide, Australia. 2005.",Poma,Italy,0.44%,
LOSS OF WATER STORAGE CAPACITY OF RESERVOIRS IN SOUTHERN ITALY: ECONOMIC IMPLICANCES OF SEDIMENTATION,"Proceedings of the OECD Workshop on Agriculture and Water: Sustainability, Markets and Policies,Adelaide, Australia. 2005.",San Pietro,Italy,0.43%,
LOSS OF WATER STORAGE CAPACITY OF RESERVOIRS IN SOUTHERN ITALY: ECONOMIC IMPLICANCES OF SEDIMENTATION,"Proceedings of the OECD Workshop on Agriculture and Water: Sustainability, Markets and Policies,Adelaide, Australia. 2005.",Is Barrocus,Italy,0.42%,
Assessment of current reservoir sedimentation rate and storage capacity loss: An Italian overview,Journal of Environmental Management,Sciaguana,Italy,0.42%,
Assessment of current reservoir sedimentation rate and storage capacity loss: An Italian overview,Journal of Environmental Management,Panigai,Italy,0.42%,
Assessment of current reservoir sedimentation rate and storage capacity loss: An Italian overview,Journal of Environmental Management,Molato,Italy,0.41%,
LOSS OF WATER STORAGE CAPACITY OF RESERVOIRS IN SOUTHERN ITALY: ECONOMIC IMPLICANCES OF SEDIMENTATION,"Proceedings of the OECD Workshop on Agriculture and Water: Sustainability, Markets and Policies,Adelaide, Australia. 2005.",Arancio,Italy,0.41%,
LOSS OF WATER STORAGE CAPACITY OF RESERVOIRS IN SOUTHERN ITALY: ECONOMIC IMPLICANCES OF SEDIMENTATION,"Proceedings of the OECD Workshop on Agriculture and Water: Sustainability, Markets and Policies,Adelaide, Australia. 2005.",Trinita,Italy,0.39%,
Assessment of current reservoir sedimentation rate and storage capacity loss: An Italian overview,Journal of Environmental Management,Pieve di Cadore,Italy,0.39%,
LOSS OF WATER STORAGE CAPACITY OF RESERVOIRS IN SOUTHERN ITALY: ECONOMIC IMPLICANCES OF SEDIMENTATION,"Proceedings of the OECD Workshop on Agriculture and Water: Sustainability, Markets and Policies,Adelaide, Australia. 2005.",Aerenza,Italy,0.39%,
Assessment of current reservoir sedimentation rate and storage capacity loss: An Italian overview,Journal of Environmental Management,Casteldoria,Italy,0.37%,
Assessment of current reservoir sedimentation rate and storage capacity loss: An Italian overview,Journal of Environmental Management,Rimasco,Italy,0.35%,
Assessment of current reservoir sedimentation rate and storage capacity loss: An Italian overview,Journal of Environmental Management,Corfino,Italy,0.35%,
Assessment of current reservoir sedimentation rate and storage capacity loss: An Italian overview,Journal of Environmental Management,Ghirlo,Italy,0.33%,
Assessment of current reservoir sedimentation rate and storage capacity loss: An Italian overview,Journal of Environmental Management,Fontanaluccia,Italy,0.32%,
LOSS OF WATER STORAGE CAPACITY OF RESERVOIRS IN SOUTHERN ITALY: ECONOMIC IMPLICANCES OF SEDIMENTATION,"Proceedings of the OECD Workshop on Agriculture and Water: Sustainability, Markets and Policies,Adelaide, Australia. 2005.",Saetta,Italy,0.32%,
LOSS OF WATER STORAGE CAPACITY OF RESERVOIRS IN SOUTHERN ITALY: ECONOMIC IMPLICANCES OF SEDIMENTATION,"Proceedings of the OECD Workshop on Agriculture and Water: Sustainability, Markets and Policies,Adelaide, Australia. 2005.",Locone,Italy,0.32%,
LOSS OF WATER STORAGE CAPACITY OF RESERVOIRS IN SOUTHERN ITALY: ECONOMIC IMPLICANCES OF SEDIMENTATION,"Proceedings of the OECD Workshop on Agriculture and Water: Sustainability, Markets and Policies,Adelaide, Australia. 2005.",Liscia,Italy,0.32%,
Assessment of current reservoir sedimentation rate and storage capacity loss: An Italian overview,Journal of Environmental Management,Pozzillo,Italy,0.31%,
Assessment of current reservoir sedimentation rate and storage capacity loss: An Italian overview,Journal of Environmental Management,Verdiana,Italy,0.30%,
